t,x1,y1,x2,y2
0,1,0,0,1
0.01,0.999528697,0.004467567,0.002356514,0.977662163
0.02,0.998156978,0.009814155,0.009215108,0.950929225
0.03,0.995961955,0.015944541,0.020190225,0.920277293
0.04,0.99303382,0.022754716,0.034830901,0.886226422
0.05,0.989469142,0.030138871,0.05265429,0.849305644
0.06,0.985364845,0.037995253,0.073175776,0.810023733
0.07,0.980813371,0.046230469,0.095933143,0.768847657
0.08,0.975899282,0.054762153,0.120503588,0.726189234
0.09,0.970697207,0.063520212,0.146513964,0.682398939
0.1,0.965271024,0.072446845,0.173644882,0.637765774
0.11,0.959673885,0.081495822,0.201630577,0.592520891
0.12,0.95394891,0.090631206,0.23025545,0.546843972
0.13,0.948130256,0.099825841,0.259348721,0.500870795
0.14,0.942244363,0.109059788,0.288778186,0.454701058
0.15,0.936311194,0.118318879,0.31844403,0.408405604
0.16,0.930345491,0.127593357,0.348272546,0.362033217
0.17,0.924357869,0.136876749,0.378210654,0.315616257
0.18,0.918355756,0.146164954,0.408221221,0.269175232
0.19,0.912344217,0.155455484,0.438278917,0.222722578
0.2,0.906326598,0.164746917,0.468367012,0.176265416
0.21,0.900305039,0.174038481,0.498474803,0.129807597
0.22,0.894280862,0.183329775,0.528595692,0.083351125
0.23,0.888254842,0.192620577,0.558725788,0.036897113
0.24,0.882227409,0.201910717,0.588862953,-0.009553583
0.25,0.876198759,0.211199976,0.619006203,-0.055999882
0.26,0.870168933,0.220488004,0.649155336,-0.102440018
0.27,0.864137855,0.229774179,0.679310724,-0.148870897
0.28,0.858105376,0.239057427,0.709473119,-0.195287134
0.29,0.852071318,0.248335947,0.739643412,-0.241679734
0.3,0.846035548,0.257606833,0.769822262,-0.288034166
0.31,0.839998122,0.26686546,0.800009392,-0.334327299
0.32,0.833959492,0.276104766,0.83020254,-0.380523832
0.33,0.827920787,0.285314398,0.860396066,-0.426571992
0.34,0.821884208,0.29447954,0.890578961,-0.4723977
0.35,0.815853626,0.303579327,0.92073187,-0.517896635
0.36,0.809835131,0.312585636,0.950824345,-0.562928178
0.37,0.803837891,0.321461077,0.980810544,-0.607305387
0.38,0.797875002,0.33015733,1.01062499,-0.650786649
0.39,0.79196443,0.338613423,1.04017785,-0.693067116
0.4,0.786129936,0.346754357,1.069350322,-0.733771785
0.41,0.780401852,0.354490338,1.097990738,-0.77245169
0.42,0.774817611,0.36171693,1.125911944,-0.808584651
0.43,0.769421709,0.368316719,1.152891456,-0.841583593
0.44,0.764265049,0.374162584,1.178674756,-0.870812918
0.45,0.75940342,0.379122955,1.2029829,-0.895614777
0.46,0.754895024,0.383068961,1.225524882,-0.915344805
0.47,0.750797152,0.385882969,1.246014239,-0.929414847
0.48,0.747162239,0.387467807,1.264188807,-0.937339034
0.49,0.744033809,0.387755117,1.279830953,-0.938775583
0.5,0.741442794,0.386711984,1.29278603,-0.93355992
0.51,0.739404903,0.384344231,1.302975486,-0.921721153
0.52,0.737919436,0.380696001,1.310402822,-0.903480006
0.53,0.73696972,0.375845614,1.315151402,-0.879228072
0.54,0.736525042,0.369898445,1.317374791,-0.849492224
0.55,0.736543694,0.362978038,1.317281532,-0.814890188
0.56,0.736976597,0.355216831,1.315117013,-0.776084156
0.57,0.737770966,0.346747701,1.311145169,-0.733738504
0.58,0.738873584,0.337697095,1.305632078,-0.688485477
0.59,0.740233443,0.328180154,1.298832787,-0.64090077
0.6,0.741803608,0.31829783,1.29098196,-0.59148915
0.61,0.743542342,0.308135781,1.282288291,-0.540678907
0.62,0.745413651,0.297764433,1.272931743,-0.488822164
0.63,0.747387286,0.287240142,1.263063571,-0.436200709
0.64,0.749438426,0.276606816,1.252807868,-0.383034078
0.65,0.751547197,0.265897709,1.242264014,-0.329488547
0.66,0.753698005,0.255137392,1.231509975,-0.275686959
0.67,0.755878899,0.244343483,1.220605505,-0.221717415
0.68,0.758080921,0.233528256,1.209595396,-0.167641278
0.69,0.760297519,0.222699978,1.198512404,-0.113499888
0.7,0.762524024,0.211864025,1.187379882,-0.059320124
0.71,0.764757197,0.201023762,1.176214017,-0.005118808
0.72,0.766994862,0.19018121,1.165025688,0.049093952
0.73,0.76923561,0.17933754,1.153821949,0.103312301
0.74,0.771478569,0.168493417,1.142607154,0.157532916
0.75,0.773723243,0.157649235,1.131383787,0.211753824
0.76,0.775969403,0.146805277,1.120152986,0.265973617
0.77,0.778217032,0.135961831,1.108914838,0.320190843
0.78,0.780466309,0.125119317,1.097668453,0.374403416
0.79,0.782717624,0.114278427,1.086411878,0.428607864
0.8,0.784971626,0.103440358,1.07514187,0.482798209
0.81,0.787229284,0.092607131,1.063853582,0.536964347
0.82,0.789491964,0.081782065,1.052540182,0.591089676
0.83,0.791761502,0.070970399,1.041192491,0.645148003
0.84,0.794040294,0.060180278,1.029798532,0.699098611
0.85,0.796331305,0.049423551,1.018343474,0.752882243
0.86,0.798638145,0.038717377,1.006809276,0.806413115
0.87,0.80096503,0.028085659,0.995174852,0.859571705
0.88,0.803316727,0.017560892,0.983416367,0.912195542
0.89,0.805698421,0.007186083,0.971507895,0.964069586
0.9,0.808115505,-0.002983259,0.959422475,1.014916295
0.91,0.810573275,-0.0128773,0.947133624,1.064386502
0.92,0.813076533,-0.022410489,0.934617333,1.112052444
0.93,0.815629095,-0.031480945,0.921854526,1.157404723
0.94,0.818233223,-0.039971048,0.908833885,1.199855239
0.95,0.820889059,-0.047749752,0.895554705,1.238748758
0.96,0.823594055,-0.054676706,0.882029726,1.27338353
0.97,0.826342567,-0.060608751,0.868287164,1.303043754
0.98,0.829125694,-0.0654082,0.854371531,1.327040999
0.99,0.831931389,-0.068952598,0.840343054,1.344762991
1,0.834745001,-0.071144486,0.826274994,1.355722428
1.01,0.837550136,-0.071920157,0.812249318,1.359600785
1.02,0.840329814,-0.07125571,0.798350929,1.356278552
1.03,0.84306774,-0.0691694,0.784661298,1.345846998
1.04,0.845749521,-0.065719877,0.771252394,1.328599383
1.05,0.848363634,-0.061000532,0.758181831,1.305002659
1.06,0.850902041,-0.055131108,0.745489796,1.275655539
1.07,0.853360398,-0.048247887,0.73319801,1.241239434
1.08,0.855737886,-0.040493919,0.721310568,1.202469593
1.09,0.858036761,-0.03201042,0.709816196,1.160052101
1.1,0.860261709,-0.022930109,0.698691455,1.114650546
1.11,0.86241916,-0.013372625,0.687904199,1.066863126
1.12,0.864516601,-0.003442083,0.677416997,1.017210413
1.13,0.866561977,0.006773798,0.667190113,0.966131012
1.14,0.868563212,0.017203131,0.65718394,0.913984345
1.15,0.870527833,0.02778864,0.647360834,0.861056802
1.16,0.87246273,0.038485776,0.63768635,0.807571118
1.17,0.874373995,0.049260825,0.628130025,0.753695874
1.18,0.87626686,0.060088887,0.618665698,0.699555564
1.19,0.878145691,0.070952065,0.609271546,0.645239674
1.2,0.880014025,0.081837859,0.599929875,0.590810705
1.21,0.881874648,0.092737805,0.590626761,0.536310977
1.22,0.883729682,0.103646358,0.58135159,0.481768209
1.23,0.88558069,0.114560012,0.572096551,0.42719994
1.24,0.887428777,0.12547662,0.562856117,0.3726169
1.25,0.889274682,0.136394914,0.553626588,0.318025431
1.26,0.89111886,0.147314156,0.544405698,0.263429219
1.27,0.892961535,0.158233908,0.535192326,0.208830461
1.28,0.894802729,0.169153868,0.525986356,0.154230661
1.29,0.896642259,0.180073753,0.516788704,0.099631234
1.3,0.898479696,0.190993187,0.507601518,0.045034067
1.31,0.900314236,0.201911505,0.498428822,-0.009557523
1.32,0.902144633,0.212827618,0.489276837,-0.06413809
1.33,0.903968892,0.223739563,0.480155538,-0.118697817
1.34,0.905784057,0.234644069,0.471079713,-0.173220344
1.35,0.90758593,0.245536017,0.46207035,-0.227680085
1.36,0.909368545,0.256407384,0.453157273,-0.282036922
1.37,0.911123762,0.267246235,0.444381192,-0.336231176
1.38,0.912840764,0.27803547,0.435796182,-0.390177352
1.39,0.914505419,0.28875112,0.427472906,-0.443755602
1.4,0.916099719,0.299360639,0.419501405,-0.496803196
1.41,0.917601209,0.309820986,0.411993956,-0.549104929
1.42,0.918982514,0.320076725,0.405087431,-0.600383626
1.43,0.920211055,0.330058344,0.398944727,-0.650291718
1.44,0.92124906,0.339681064,0.393754701,-0.698405318
1.45,0.922054008,0.348844536,0.389729958,-0.744222679
1.46,0.922579627,0.357433787,0.387101866,-0.787168935
1.47,0.922777556,0.36532193,0.386112221,-0.826609649
1.48,0.922599693,0.372374787,0.387001537,-0.861873933
1.49,0.922001142,0.378457585,0.389994288,-0.892287924
1.5,0.920943542,0.38344336,0.395282291,-0.917216798
1.51,0.919398375,0.387222301,0.403008124,-0.936111506
1.52,0.917349801,0.38971089,0.413250995,-0.94855445
1.53,0.914796505,0.390859441,0.426017473,-0.954297207
1.54,0.911752205,0.390656783,0.441238973,-0.953283916
1.55,0.908244666,0.389131228,0.458776671,-0.94565614
1.56,0.904313355,0.386347659,0.478433226,-0.931738294
1.57,0.900006139,0.382401317,0.499969305,-0.912006583
1.58,0.895375533,0.377409377,0.523122333,-0.887046886
1.59,0.890475055,0.371501675,0.547624724,-0.857508374
1.6,0.88535611,0.364811871,0.57321945,-0.824059356
1.61,0.880065665,0.357469967,0.599671677,-0.787349834
1.62,0.874644789,0.349596696,0.626776055,-0.747983478
1.63,0.869127996,0.341299903,0.654360019,-0.706499516
1.64,0.86354323,0.332672724,0.682283848,-0.66336362
1.65,0.857912318,0.323793224,0.710438411,-0.61896612
1.66,0.852251678,0.314725027,0.738741609,-0.573625136
1.67,0.846573213,0.305518741,0.767133933,-0.527593705
1.68,0.84088516,0.296213571,0.795574199,-0.481067857
1.69,0.835192938,0.286839202,0.824035309,-0.434196008
1.7,0.829499871,0.27741753,0.852500645,-0.387087648
1.71,0.823807801,0.26796429,0.880960997,-0.339821451
1.72,0.818117586,0.2584905,0.909412071,-0.292452501
1.73,0.812429476,0.249003642,0.937852622,-0.245018208
1.74,0.806743386,0.239508633,0.966283071,-0.197543164
1.75,0.801059089,0.230008611,0.994704556,-0.150043055
1.76,0.795376334,0.220505505,1.023118328,-0.102527527
1.77,0.789694922,0.211000469,1.051525392,-0.055002345
1.78,0.784014738,0.201494171,1.079926309,-0.007470853
1.79,0.77833579,0.191986997,1.108321048,0.040065017
1.8,0.772658239,0.182479183,1.136708803,0.087604083
1.81,0.766982465,0.172970918,1.165087674,0.135145412
1.82,0.761309175,0.163462433,1.193454124,0.182687833
1.83,0.755639562,0.15395413,1.22180219,0.230229348
1.84,0.749975644,0.144446811,1.250121779,0.277765946
1.85,0.744320434,0.134941847,1.27839783,0.325290763
1.86,0.738678683,0.125441758,1.306606583,0.372791209
1.87,0.733057245,0.115950603,1.334713774,0.420246987
1.88,0.727465972,0.106474816,1.362670139,0.467625919
1.89,0.721918552,0.097024094,1.390407239,0.514879528
1.9,0.716433602,0.087612584,1.417831989,0.561937079
1.91,0.711035783,0.078260192,1.444821084,0.608699041
1.92,0.70575703,0.068994098,1.471214848,0.655029512
1.93,0.700637746,0.059850355,1.496811269,0.700748225
1.94,0.695727843,0.050875454,1.521360786,0.745622729
1.95,0.691087446,0.042127664,1.54456277,0.789361681
1.96,0.686787039,0.033677901,1.566064806,0.831610495
1.97,0.682906735,0.025609751,1.585466327,0.871951245
1.98,0.679534517,0.018018428,1.602327417,0.90990786
1.99,0.676763104,0.011008174,1.616184478,0.944959132
2,0.674685502,0.004688054,1.62657249,0.976559731
2.01,0.673389326,-0.000833904,1.633053368,1.004169519
2.02,0.672950423,-0.005457812,1.635247884,1.027289061
2.03,0.673426503,-0.00909955,1.632867487,1.045497749
2.04,0.674851723,-0.011697895,1.625741384,1.058489477
2.05,0.677233168,-0.01322003,1.61383416,1.066100151
2.06,0.680549828,-0.013664523,1.597250861,1.068322614
2.07,0.684754405,-0.01306118,1.576227976,1.065305901
2.08,0.689777549,-0.01146793,1.551112255,1.057339648
2.09,0.695533858,-0.008965257,1.522330708,1.044826287
2.1,0.70192864,-0.005649227,1.490356802,1.028246134
2.11,0.708864475,-0.001624139,1.455677623,1.008120693
2.12,0.716246842,0.003004221,1.418765788,0.984978893
2.13,0.723988373,0.00813413,1.380058136,0.959329351
2.14,0.732011555,0.01367191,1.339942224,0.931640452
2.15,0.740250109,0.01953443,1.298749455,0.902327848
2.16,0.748649194,0.025650245,1.256754031,0.871748777
2.17,0.757164783,0.031959644,1.214176083,0.840201778
2.18,0.765762596,0.038414059,1.171187022,0.807929703
2.19,0.774416664,0.044974888,1.127916682,0.775125558
2.2,0.783107933,0.051612215,1.084460336,0.741938925
2.21,0.791822838,0.05830337,1.040885808,0.708483152
2.22,0.800552049,0.065031577,0.997239756,0.674842115
2.23,0.809289403,0.071784751,0.953552987,0.641076247
2.24,0.818031004,0.078554401,0.90984498,0.607227993
2.25,0.826774516,0.085334734,0.866127418,0.573326329
2.26,0.835518622,0.092121908,0.822406892,0.539390462
2.27,0.844262629,0.09891346,0.778686857,0.505432698
2.28,0.853006196,0.105707868,0.73496902,0.47146066
2.29,0.861749149,0.112504223,0.691254256,0.437478885
2.3,0.870491356,0.119302013,0.647543221,0.403489935
2.31,0.879232641,0.126100977,0.603836793,0.369495115
2.32,0.887972705,0.132901015,0.560136477,0.335494924
2.33,0.896710994,0.139702131,0.516445031,0.301489344
2.34,0.905446574,0.146504379,0.472767131,0.267478106
2.35,0.914177848,0.153307802,0.42911076,0.233460989
2.36,0.922902183,0.160112326,0.385489085,0.199438371
2.37,0.931615455,0.1669176,0.341922723,0.165412001
2.38,0.940311402,0.173722771,0.29844299,0.131386146
2.39,0.948980626,0.180526092,0.25509687,0.097369539
2.4,0.957609622,0.18732447,0.211951891,0.06337765
2.41,0.966179659,0.194112925,0.169101703,0.029435375
2.42,0.974665055,0.200883743,0.126674726,-0.004418717
2.43,0.983031681,0.207625634,0.084841594,-0.038128169
2.44,0.991235234,0.214322705,0.043823829,-0.071613527
2.45,0.99921959,0.220953393,0.003902049,-0.104766967
2.46,1.006915411,0.227489402,-0.034577054,-0.137447011
2.47,1.014239253,0.233894785,-0.071196265,-0.169473926
2.48,1.021093668,0.240125436,-0.105468338,-0.200627182
2.49,1.027368188,0.246128904,-0.136840938,-0.23064452
2.5,1.032942345,0.251845256,-0.164711724,-0.259226279
2.51,1.037690206,0.25720871,-0.18845103,-0.286043551
2.52,1.041486899,0.262150472,-0.207434497,-0.310752358
2.53,1.04421662,0.266602556,-0.221083098,-0.33301278
2.54,1.045781334,0.270502368,-0.228906672,-0.35251184
2.55,1.046109181,0.273797525,-0.230545905,-0.368987627
2.56,1.045161277,0.276450297,-0.225806383,-0.382251483
2.57,1.042935559,0.278440837,-0.214677796,-0.392204184
2.58,1.039467236,0.279768826,-0.197336181,-0.398844132
2.59,1.034825531,0.280453162,-0.174127655,-0.402265812
2.6,1.029107268,0.280529766,-0.145536341,-0.402648831
2.61,1.022428636,0.280048082,-0.112143178,-0.400240408
2.62,1.014916198,0.279066753,-0.074580988,-0.395333765
2.63,1.006698482,0.277649181,-0.033492409,-0.388245907
2.64,0.997899012,0.275859523,0.010504941,-0.379297616
2.65,0.988631156,0.273759419,0.056844222,-0.368797093
2.66,0.978995032,0.271405682,0.105024838,-0.357028412
2.67,0.969076042,0.268848854,0.15461979,-0.344244272
2.68,0.958944769,0.26613252,0.205276153,-0.330662599
2.69,0.948657979,0.2632933,0.256710105,-0.3164665
2.7,0.938260025,0.260361179,0.308699876,-0.301805896
2.71,0.927784655,0.257360148,0.361076726,-0.286800739
2.72,0.91725689,0.254308995,0.413715549,-0.271544973
2.73,0.906694717,0.251222077,0.466526416,-0.256110386
2.74,0.896110704,0.248110137,0.519446478,-0.240550685
2.75,0.885513348,0.244981014,0.572433262,-0.224905071
2.76,0.874908183,0.241840287,0.625459083,-0.209201433
2.77,0.864298681,0.238691814,0.678506595,-0.193459072
2.78,0.853686924,0.23553819,0.73156538,-0.17769095
2.79,0.843074115,0.232381095,0.784629427,-0.161905474
2.8,0.832460928,0.229221575,0.837695358,-0.146107877
2.81,0.821847757,0.226060243,0.890761213,-0.130301216
2.82,0.811234874,0.222897409,0.943825632,-0.114487043
2.83,0.800622548,0.219733161,0.996887259,-0.098665804
2.84,0.790011165,0.216567402,1.049944175,-0.082837011
2.85,0.77940136,0.213399851,1.102993199,-0.066999253
2.86,0.768794227,0.210230017,1.156028863,-0.051150086
2.87,0.758191619,0.207057172,1.209041903,-0.035285859
2.88,0.747596563,0.203880312,1.262017184,-0.019401558
2.89,0.737013963,0.200698121,1.314930186,-0.003490604
2.9,0.726451247,0.197508991,1.367743767,0.012455046
2.91,0.715919459,0.194311029,1.420402707,0.028444853
2.92,0.705434585,0.191102138,1.472827077,0.044489308
2.93,0.69501903,0.187880148,1.524904848,0.060599262
2.94,0.684703272,0.18464301,1.576483639,0.076784949
2.95,0.674527869,0.181389081,1.627360656,0.093054594
2.96,0.66454537,0.178117475,1.677273149,0.109412623
2.97,0.654822179,0.174828506,1.725889105,0.125857471
2.98,0.64544005,0.17152419,1.77279975,0.142379049
2.99,0.636496884,0.168208792,1.817515578,0.158956042
3,0.628106421,0.164889343,1.859467894,0.175553284
3.01,0.620396356,0.16157607,1.898018222,0.192119649
3.02,0.613504608,0.158282637,1.932476962,0.208586814
3.03,0.607573424,0.1550261,1.962132879,0.224869499
3.04,0.602741443,0.151826478,1.986292783,0.24086761
3.05,0.599134389,0.148705881,2.004328057,0.256470594
3.06,0.596855022,0.145687253,2.015724889,0.271563737
3.07,0.595974379,0.142792798,2.020128105,0.28603601
3.08,0.596524834,0.140042306,2.017375829,0.299788468
3.09,0.598496992,0.137451612,2.00751504,0.312741941
3.1,0.601840571,0.135031421,1.990797147,0.324842896
3.11,0.606469224,0.132786679,1.967653881,0.336066605
3.12,0.612268401,0.130716531,1.938657997,0.346417347
3.13,0.619104961,0.128814835,1.904475193,0.355925827
3.14,0.626837033,0.127071093,1.865814835,0.364644536
3.15,0.635322897,0.125471606,1.823385514,0.372641968
3.16,0.644428138,0.124000687,1.777859308,0.379996565
3.17,0.654030558,0.122641782,1.729847212,0.386791089
3.18,0.664023187,0.121378416,1.679884067,0.393107922
3.19,0.674315277,0.120194904,1.628423613,0.399025481
3.2,0.68483218,0.11907686,1.575839098,0.404615702
3.21,0.695514052,0.118011477,1.52242974,0.409942613
3.22,0.70631422,0.116987674,1.468428901,0.41506163
3.23,0.717197189,0.115996091,1.414014053,0.420019543
3.24,0.728136631,0.115029009,1.359316847,0.424854956
3.25,0.739113562,0.11408021,1.304432192,0.429598949
3.26,0.750114681,0.11314481,1.249426593,0.434275951
3.27,0.761130944,0.112219063,1.194345281,0.438904687
3.28,0.772156397,0.111300175,1.139218016,0.443499123
3.29,0.78318726,0.110386127,1.084063699,0.448069363
3.3,0.794221222,0.10947551,1.02889389,0.452622452
3.31,0.805256913,0.10856738,0.973715437,0.457163098
3.32,0.816293538,0.107661153,0.918532312,0.461694234
3.33,0.827330628,0.106756511,0.863346862,0.466217447
